country_key,country
COUNTRY_Australia,Australia
COUNTRY_Austria,Austria
COUNTRY_Bahrain,Bahrain
COUNTRY_Belgium,Belgium
COUNTRY_Brazil,Brazil
COUNTRY_Canada,Canada
COUNTRY_Channel Islands,Channel Islands
COUNTRY_Cyprus,Cyprus
COUNTRY_Czech Republic,Czech Republic
COUNTRY_Denmark,Denmark
COUNTRY_EIRE,EIRE
COUNTRY_European Community,European Community
COUNTRY_Finland,Finland
COUNTRY_France,France
COUNTRY_Germany,Germany
COUNTRY_Greece,Greece
COUNTRY_Hong Kong,Hong Kong
COUNTRY_Iceland,Iceland
COUNTRY_Israel,Israel
COUNTRY_Italy,Italy
COUNTRY_Japan,Japan
COUNTRY_Lebanon,Lebanon
COUNTRY_Lithuania,Lithuania
COUNTRY_Malta,Malta
COUNTRY_Netherlands,Netherlands
COUNTRY_Norway,Norway
COUNTRY_Poland,Poland
COUNTRY_Portugal,Portugal
COUNTRY_RSA,RSA
COUNTRY_Saudi Arabia,Saudi Arabia
COUNTRY_Singapore,Singapore
COUNTRY_Spain,Spain
COUNTRY_Sweden,Sweden
COUNTRY_Switzerland,Switzerland
COUNTRY_USA,USA
COUNTRY_United Arab Emirates,United Arab Emirates
COUNTRY_United Kingdom,United Kingdom
COUNTRY_Unspecified,Unspecified
