product_key,stockcode,description
SKU_10002,10002,INFLATABLE POLITICAL GLOBE
SKU_10080,10080,GROOVY CACTUS INFLATABLE
SKU_10120,10120,DOGGY RUBBER
SKU_10123C,10123C,HEARTS WRAPPING TAPE
SKU_10124A,10124A,SPOTS ON RED BOOKCOVER TAPE
SKU_10124G,10124G,ARMY CAMO BOOKCOVER TAPE
SKU_10125,10125,MINI FUNKY DESIGN TAPES
SKU_10133,10133,COLOURING PENCILS BROWN TUBE
SKU_10135,10135,COLOURING PENCILS BROWN TUBE
SKU_11001,11001,ASSTD DESIGN RACING CAR PEN
SKU_15030,15030,FAN BLACK FRAME
SKU_15034,15034,PAPER POCKET TRAVELING FAN
SKU_15036,15036,ASSORTED COLOURS SILK FAN
SKU_15039,15039,SANDALWOOD FAN
SKU_15044A,15044A,PINK PAPER PARASOL
SKU_15044B,15044B,BLUE PAPER PARASOL
SKU_15044C,15044C,PURPLE PAPER PARASOL
SKU_15044D,15044D,RED PAPER PARASOL
SKU_15056BL,15056BL,EDWARDIAN PARASOL BLACK
SKU_15056N,15056N,EDWARDIAN PARASOL NATURAL
SKU_15056P,15056P,EDWARDIAN PARASOL PINK
SKU_15058A,15058A,BLUE POLKADOT GARDEN PARASOL
SKU_15058B,15058B,PINK POLKADOT GARDEN PARASOL
SKU_15058C,15058C,ICE CREAM DESIGN GARDEN PARASOL
SKU_15060B,15060B,FAIRY CAKE DESIGN UMBRELLA
SKU_16008,16008,SMALL FOLDING SCISSOR(POINTED EDGE)
SKU_16010,16010,FOLDING CAMPING SCISSOR W/KNIF & S
SKU_16011,16011,ANIMAL STICKERS
SKU_16012,16012,FOOD/DRINK SPONGE STICKERS
SKU_16014,16014,SMALL CHINESE STYLE SCISSOR
SKU_16015,16015,MEDIUM CHINESE STYLE SCISSOR
SKU_16016,16016,LARGE CHINESE STYLE SCISSOR
SKU_16020C,16020C,CLEAR STATIONERY BOX SET
SKU_16033,16033,MINI HIGHLIGHTER PENS
SKU_16043,16043,POP ART PUSH DOWN RUBBER
SKU_16045,16045,POPART WOODEN PENCILS ASST
SKU_16046,16046,TEATIME PEN CASE & PENS
SKU_16048,16048,TEATIME ROUND PENCIL SHARPENER
SKU_16049,16049,TEATIME GEL PENS ASST
SKU_16052,16052,TEATIME PUSH DOWN RUBBER
SKU_16054,16054,POPART RECT PENCIL SHARPENER ASST
SKU_16151A,16151A,FLOWERS HANDBAG blue and orange
